MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,X1stFlrSF,X2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,X3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
60,4,65,8450,2,1,4,4,1,5,1,6,3,3,1,6,7,5,2003,2003,2,2,13,14,2,196,3,5,3,3,4,4,3,706,6,0,150,856,2,1,2,5,856,854,0,1710,1,0,2,1,3,1,3,8,7,0,3,2,2003,2,2,548,5,5,3,0,61,0,0,0,0,1,3,3,0,2,2008,9,5,12.247694320221
20,4,80,9600,2,1,4,4,1,3,1,25,2,3,1,3,6,8,1976,1976,2,2,9,9,3,0,4,5,2,3,4,2,1,978,6,0,284,1262,2,1,2,5,1262,0,0,1262,0,1,2,0,3,1,4,6,7,1,5,2,1976,2,2,460,5,5,3,298,0,0,0,0,0,1,3,3,0,5,2007,9,5,12.109010932687
60,4,68,11250,2,1,1,4,1,5,1,6,3,3,1,6,7,5,2001,2002,2,2,13,14,2,162,3,5,3,3,4,3,3,486,6,0,434,920,2,1,2,5,920,866,0,1786,1,0,2,1,3,1,3,6,7,1,5,2,2001,2,2,608,5,5,3,0,42,0,0,0,0,1,3,3,0,9,2008,9,5,12.3171666930358
70,4,60,9550,2,1,1,4,1,1,1,7,3,3,1,6,7,5,1915,1970,2,2,14,16,3,0,4,5,1,4,2,4,1,216,6,0,540,756,2,3,2,5,961,756,0,1717,1,0,1,0,3,1,3,7,7,1,3,6,1998,3,3,642,5,5,3,0,35,272,0,0,0,1,3,3,0,2,2006,9,1,11.8493977015914
60,4,84,14260,2,1,1,4,1,3,1,14,3,3,1,6,8,5,2000,2000,2,2,13,14,2,350,3,5,3,3,4,1,3,655,6,0,490,1145,2,1,2,5,1145,1053,0,2198,1,0,2,1,4,1,3,9,7,1,5,2,2000,2,3,836,5,5,3,192,84,0,0,0,0,1,3,3,0,12,2008,9,5,12.4292161968444
50,4,85,14115,2,1,1,4,1,5,1,12,3,3,1,1,5,5,1993,1995,2,2,13,14,3,0,4,5,6,3,4,4,3,732,6,0,64,796,2,1,2,5,796,566,0,1362,1,0,1,1,1,1,4,5,7,0,3,2,1993,3,2,480,5,5,3,40,30,0,320,0,0,1,3,3,700,10,2009,9,5,11.870599909242
20,4,75,10084,2,1,4,4,1,5,1,21,3,3,1,3,8,5,2004,2005,2,2,13,14,4,186,3,5,3,1,4,1,3,1369,6,0,317,1686,2,1,2,5,1694,0,0,1694,1,0,2,0,3,1,3,7,7,1,3,2,2004,2,2,636,5,5,3,255,57,0,0,0,0,1,3,3,0,8,2007,9,5,12.6346030265693
60,4,69.3057953144266,10382,2,1,1,4,1,1,1,17,5,3,1,6,7,6,1973,1973,2,2,7,7,4,240,4,5,2,3,4,3,1,859,2,32,216,1107,2,1,2,5,1107,983,0,2090,1,0,2,1,3,1,4,7,7,2,5,2,1973,2,2,484,5,5,3,235,204,228,0,0,0,1,3,3,350,11,2009,9,5,12.2060726455302
50,5,51,6120,2,1,4,4,1,5,1,18,1,3,1,1,7,5,1931,1950,2,2,4,16,3,0,4,5,1,4,4,4,6,0,6,0,952,952,2,3,2,2,1022,752,0,1774,0,0,2,0,2,2,4,8,3,2,5,6,1931,3,2,468,2,5,3,90,0,205,0,0,0,1,3,3,0,4,2008,9,1,11.7745202026587
190,4,50,7420,2,1,4,4,1,1,1,4,1,1,2,2,5,6,1939,1950,2,2,9,9,3,0,4,5,1,4,4,4,3,851,6,0,140,991,2,1,2,5,1077,0,0,1077,1,0,1,0,2,2,4,5,7,2,5,2,1939,2,1,205,3,5,3,0,4,0,0,0,0,1,3,3,0,1,2008,9,5,11.6784399034478
20,4,70,11200,2,1,4,4,1,5,1,19,3,3,1,3,5,5,1965,1965,4,2,7,7,3,0,4,5,2,4,4,4,5,906,6,0,134,1040,2,1,2,5,1040,0,0,1040,1,0,1,0,3,1,4,5,7,0,3,6,1965,3,1,384,5,5,3,0,0,0,0,0,0,1,3,3,0,2,2008,9,5,11.7714361601217
60,4,85,11924,2,1,1,4,1,5,1,16,3,3,1,6,9,5,2005,2006,4,2,15,16,4,286,1,5,3,1,4,4,3,998,6,0,177,1175,2,1,2,5,1182,1142,0,2324,1,0,3,0,4,1,1,11,7,2,3,4,2005,1,3,736,5,5,3,147,21,0,0,0,0,1,3,3,0,7,2006,7,6,12.7512996960135
20,4,69.3057953144266,12968,2,1,2,4,1,5,1,19,3,3,1,3,5,6,1962,1962,4,2,7,11,3,0,4,5,2,4,4,4,1,737,6,0,175,912,2,5,2,5,912,0,0,912,1,0,1,0,2,1,4,4,7,0,3,6,1962,3,1,352,5,5,3,140,0,0,0,176,0,1,3,3,0,9,2008,9,5,11.8775685785581
20,4,91,10652,2,1,1,4,1,5,1,6,3,3,1,3,7,5,2006,2007,2,2,13,14,4,306,3,5,3,3,4,1,6,0,6,0,1494,1494,2,1,2,5,1494,0,0,1494,0,0,2,0,3,1,3,7,7,1,3,2,2006,2,3,840,5,5,3,160,33,0,0,0,0,1,3,3,0,8,2007,7,6,12.5407575715773
20,4,69.3057953144266,10920,2,1,1,4,1,1,1,13,3,3,1,3,6,5,1960,1960,4,2,9,9,2,212,4,5,2,4,4,4,2,733,6,0,520,1253,2,5,2,5,1253,0,0,1253,1,0,1,1,2,1,4,5,7,1,2,2,1960,2,1,352,5,5,3,0,213,176,0,0,0,1,2,3,0,5,2008,9,5,11.9640010843304
45,5,51,6120,2,1,4,4,1,1,1,4,3,3,1,2,7,8,1929,2001,2,2,14,15,3,0,4,5,1,4,4,4,6,0,6,0,832,832,2,1,2,1,854,0,0,854,0,0,1,0,2,1,4,5,7,0,3,6,1991,3,2,576,5,5,3,48,112,0,0,0,0,1,1,3,0,7,2007,9,5,11.7905572015685
20,4,69.3057953144266,11241,2,1,1,4,1,2,1,13,3,3,1,3,6,7,1970,1970,2,2,14,15,2,180,4,5,2,4,4,4,1,578,6,0,426,1004,2,1,2,5,1004,0,0,1004,1,0,1,0,2,1,4,5,7,1,5,2,1970,1,2,480,5,5,3,0,0,0,0,0,0,1,3,3,700,3,2010,9,5,11.9117015849276
90,4,72,10791,2,1,4,4,1,5,1,19,3,3,3,3,4,5,1967,1967,2,2,9,9,3,0,4,5,4,4,4,4,6,0,6,0,0,0,2,5,2,5,1296,0,0,1296,0,0,2,0,2,2,4,6,7,0,3,5,1967,3,2,516,5,5,3,0,0,0,0,0,0,1,3,3,500,10,2006,9,5,11.4075649493124
20,4,66,13695,2,1,4,4,1,5,1,20,6,3,1,3,5,5,2004,2004,2,2,13,14,3,0,4,5,3,4,4,4,3,646,6,0,468,1114,2,1,2,5,1114,0,0,1114,1,0,1,1,3,1,3,6,7,0,3,6,2004,3,2,576,5,5,3,0,102,0,0,0,0,1,3,3,0,6,2008,9,5,11.9766594812024
20,4,70,7560,2,1,4,4,1,5,1,13,3,3,1,3,5,6,1958,1965,4,2,4,11,3,0,4,5,2,4,4,4,4,504,6,0,525,1029,2,5,2,5,1339,0,0,1339,0,0,1,0,3,1,4,6,3,0,3,2,1958,3,1,294,5,5,3,0,0,0,0,0,0,1,3,3,0,5,2009,1,1,11.8422292121128
60,4,101,14215,2,1,1,4,1,1,1,16,3,3,1,6,8,5,2005,2006,2,2,13,14,2,380,3,5,3,1,4,1,6,0,6,0,1158,1158,2,1,2,5,1158,1218,0,2376,0,0,3,1,4,1,3,9,7,1,3,4,2005,2,3,853,5,5,3,240,154,0,0,0,0,1,3,3,0,11,2006,7,6,12.6925031124614
45,5,57,7449,2,1,4,1,1,5,1,10,3,3,1,2,7,7,1930,1950,2,2,14,15,3,0,4,5,3,4,4,4,6,0,6,0,637,637,2,1,2,2,1108,0,0,1108,0,0,1,0,3,1,3,6,7,1,3,2,1930,3,1,280,5,5,1,0,0,205,0,0,0,1,1,3,0,6,2007,9,5,11.8451027773086
20,4,75,9742,2,1,4,4,1,5,1,6,3,3,1,3,8,5,2002,2002,4,2,13,14,2,281,3,5,3,3,4,4,6,0,6,0,1777,1777,2,1,2,5,1795,0,0,1795,0,0,2,0,3,1,3,7,7,1,3,2,2002,2,2,534,5,5,3,171,159,0,0,0,0,1,3,3,0,9,2008,9,5,12.3458345879053
120,5,44,4224,2,1,4,4,1,5,1,11,3,3,5,3,5,7,1976,1976,2,2,6,6,3,0,4,5,3,3,4,4,3,840,6,0,200,1040,2,5,2,5,1060,0,0,1060,1,0,1,0,3,1,4,6,7,1,5,2,1976,3,2,572,5,5,3,100,110,0,0,0,0,1,3,3,0,6,2007,9,5,11.7745202026587
20,4,69.3057953144266,8246,2,1,1,4,1,5,1,19,3,3,1,3,5,8,1968,2001,2,2,10,11,3,0,4,3,2,4,4,3,5,188,1,668,204,1060,2,1,2,5,1060,0,0,1060,1,0,1,0,3,1,3,6,7,1,5,2,1968,3,1,270,5,5,3,406,90,0,0,0,0,1,3,3,0,5,2010,9,5,11.9447078813958
20,4,110,14230,2,1,4,4,1,1,1,16,3,3,1,3,8,5,2007,2007,2,2,13,14,4,640,3,5,3,3,4,4,6,0,6,0,1566,1566,2,1,2,5,1600,0,0,1600,0,0,2,0,3,1,3,7,7,1,3,2,2007,2,3,890,5,5,3,0,56,0,0,0,0,1,3,3,0,7,2009,9,5,12.4541039123522
20,4,60,7200,2,1,4,4,1,1,1,13,3,3,1,3,5,7,1951,2000,2,2,14,15,3,0,4,5,2,4,4,3,2,234,5,486,180,900,2,5,2,5,900,0,0,900,0,1,1,0,3,1,3,5,7,0,3,6,2005,3,2,576,5,5,3,222,32,0,0,0,0,1,3,3,0,5,2010,9,5,11.8115474774603
20,4,98,11478,2,1,4,4,1,5,1,16,3,3,1,3,8,5,2007,2008,2,2,13,14,4,200,3,5,3,1,4,4,3,1218,6,0,486,1704,2,1,2,5,1704,0,0,1704,1,0,2,0,3,1,3,7,7,1,3,2,2008,2,3,772,5,5,3,0,50,0,0,0,0,1,3,3,0,5,2010,9,5,12.6313403809345
20,4,47,16321,2,1,1,4,1,2,1,13,3,3,1,3,5,6,1957,1997,2,2,9,9,3,0,4,5,2,4,4,2,2,1277,6,0,207,1484,2,5,2,5,1600,0,0,1600,1,0,1,0,2,1,4,6,7,2,3,2,1957,2,1,319,5,5,3,288,258,0,0,0,0,1,3,3,0,12,2006,9,5,12.2428866186529
30,5,60,6324,2,1,1,4,1,5,1,4,2,8,1,3,4,6,1927,1950,2,2,9,9,3,0,4,5,1,4,4,4,6,0,6,0,520,520,2,2,1,5,520,0,0,520,0,0,1,0,1,1,2,4,7,0,3,6,1920,3,1,240,2,5,3,49,0,87,0,0,0,1,3,3,0,5,2008,9,5,11.1345890242503
70,1,50,8500,2,2,4,4,1,5,1,10,2,3,1,6,4,4,1920,1950,3,2,4,4,3,0,4,2,1,4,4,4,6,0,6,0,649,649,2,5,1,5,649,668,0,1317,0,0,1,0,3,1,4,6,7,0,3,6,1920,3,1,250,5,2,1,0,54,172,0,0,0,1,3,3,0,7,2008,9,5,10.5966347330961
20,4,69.3057953144266,8544,2,1,1,4,1,2,1,19,3,3,1,3,5,6,1966,2006,2,2,7,7,3,0,4,5,2,4,4,4,6,0,6,0,1228,1228,2,3,2,5,1228,0,0,1228,0,0,1,1,3,1,3,6,7,0,3,2,1966,3,1,271,5,5,3,0,65,0,0,0,0,1,3,3,0,6,2008,9,5,11.9140478236443
20,4,85,11049,2,1,4,4,1,1,1,6,3,3,1,3,8,5,2007,2007,2,2,13,14,3,0,3,5,3,1,4,1,6,0,6,0,1234,1234,2,1,2,5,1234,0,0,1234,0,0,2,0,3,1,3,7,7,0,3,2,2007,2,2,484,5,5,3,0,30,0,0,0,0,1,3,3,0,1,2008,9,5,12.1001564199386
20,4,70,10552,2,1,1,4,1,5,1,13,3,3,1,3,5,5,1959,1959,4,2,4,4,3,0,4,5,2,4,4,4,5,1018,6,0,380,1398,2,3,2,5,1700,0,0,1700,0,1,1,1,4,1,3,6,7,1,3,2,1959,2,2,447,5,5,3,0,38,0,0,0,0,1,3,3,0,4,2010,9,5,12.0167264737993
120,4,60,7313,2,1,4,4,1,5,1,16,3,3,5,3,9,5,2005,2005,4,2,9,9,2,246,1,5,3,1,4,4,3,1153,6,0,408,1561,2,1,2,5,1561,0,0,1561,1,0,2,0,2,1,1,6,7,1,3,2,2005,1,2,556,5,5,3,203,47,0,0,0,0,1,3,3,0,8,2007,9,5,12.5335762121686
60,4,108,13418,2,1,4,4,1,5,1,16,3,3,1,6,8,5,2004,2005,2,2,13,14,4,132,3,5,3,1,4,1,6,0,6,0,1117,1117,2,1,2,5,1132,1320,0,2452,0,0,3,1,4,1,3,9,7,1,3,4,2004,1,3,691,5,5,3,113,32,0,0,0,0,1,3,3,0,9,2006,9,5,12.6410965558799
20,4,112,10859,2,1,4,4,1,1,1,6,3,3,1,3,5,5,1994,1995,2,2,13,14,3,0,4,5,3,3,4,4,6,0,6,0,1097,1097,2,1,2,5,1097,0,0,1097,0,0,1,1,3,1,4,6,7,0,3,2,1995,3,2,672,5,5,3,392,64,0,0,0,0,1,3,3,0,6,2009,9,5,11.8844890214027
20,4,74,8532,2,1,4,4,1,5,1,13,3,3,1,3,5,6,1954,1990,4,2,14,15,2,650,4,5,2,4,4,4,5,1213,6,0,84,1297,2,3,2,5,1297,0,0,1297,0,1,1,0,3,1,4,5,7,1,5,2,1954,1,2,498,5,5,3,0,0,0,0,0,0,1,3,3,0,10,2009,9,5,11.9381932003746
20,4,68,7922,2,1,4,4,1,5,1,13,3,3,1,3,5,7,1953,2007,2,2,13,14,3,0,4,3,2,4,4,4,3,731,6,0,326,1057,2,5,2,5,1057,0,0,1057,1,0,1,0,3,1,3,5,7,0,3,6,1953,3,1,246,5,5,3,0,52,0,0,0,0,1,3,3,0,1,2010,9,1,11.5991031612113
90,4,65,6040,2,1,4,4,1,5,1,8,3,3,3,3,4,5,1955,1955,2,2,1,11,3,0,4,5,3,4,4,4,6,0,6,0,0,0,2,5,1,3,1152,0,0,1152,0,0,2,0,2,2,2,6,7,0,3,2,1978.1134057971,3,0,0,5,5,1,0,0,0,0,0,0,1,3,3,0,6,2008,9,2,11.3144745262464
20,4,84,8658,2,1,4,4,1,5,1,13,3,3,1,3,6,5,1965,1965,2,2,14,15,2,101,4,5,2,4,4,4,5,643,6,0,445,1088,2,1,2,5,1324,0,0,1324,0,0,2,0,3,1,4,6,7,1,5,2,1965,2,2,440,5,5,3,0,138,0,0,0,0,1,2,3,0,12,2006,9,1,11.982929094216
20,4,115,16905,2,1,4,4,1,5,1,24,3,3,1,3,5,6,1959,1959,2,2,13,14,3,0,4,3,2,4,4,2,2,967,6,0,383,1350,2,3,2,5,1328,0,0,1328,0,1,1,1,2,1,4,5,7,2,3,2,1959,2,1,308,5,5,2,0,104,0,0,0,0,1,3,3,0,7,2007,9,5,12.0435537160324
85,4,69.3057953144266,9180,2,1,1,4,1,2,1,20,3,3,1,7,5,7,1983,1983,2,2,7,7,3,0,4,5,2,3,4,1,1,747,4,93,0,840,2,3,2,5,884,0,0,884,1,0,1,0,2,1,3,5,7,0,3,2,1983,2,2,504,5,3,3,240,0,0,0,0,0,1,3,3,0,12,2007,9,5,11.8775685785581
20,4,69.3057953144266,9200,2,1,1,4,1,2,1,6,3,3,1,3,5,6,1975,1980,4,2,13,14,3,0,4,5,2,3,4,1,4,280,2,491,167,938,2,5,2,5,938,0,0,938,1,0,1,0,3,1,4,5,7,0,3,6,1977,3,1,308,5,5,3,145,0,0,0,0,0,1,3,3,0,7,2008,9,5,11.7772109596156
20,4,70,7945,2,1,4,4,1,5,1,13,3,3,1,3,5,6,1959,1959,2,2,4,15,3,0,4,5,2,4,4,4,1,179,2,506,465,1150,2,1,2,1,1150,0,0,1150,1,0,1,0,3,1,4,6,7,0,3,2,1959,2,1,300,5,5,3,0,0,0,0,0,0,1,3,3,0,5,2006,9,5,11.8565151693603
120,4,61,7658,2,1,4,4,1,5,1,16,3,3,5,3,9,5,2005,2005,4,2,9,9,2,412,1,5,3,1,4,4,3,456,6,0,1296,1752,2,1,2,5,1752,0,0,1752,1,0,2,0,2,1,1,6,7,1,3,2,2005,2,2,576,5,5,3,196,82,0,0,0,0,1,3,3,0,2,2010,9,5,12.6757637259376
50,4,48,12822,2,1,1,4,1,2,1,12,3,3,1,1,7,5,2003,2003,2,2,13,14,3,0,3,5,3,1,4,4,3,1351,6,0,83,1434,2,1,2,5,1518,631,0,2149,1,0,1,1,1,1,3,6,7,1,1,2,2003,2,2,670,5,5,3,168,43,0,0,198,0,1,3,3,0,8,2009,9,1,12.3870850123755
20,2,84,11096,2,1,4,4,1,5,1,21,3,3,1,3,8,5,2006,2006,2,2,13,14,3,0,3,5,3,3,4,1,3,24,6,0,1632,1656,2,1,2,5,1656,0,0,1656,0,0,2,0,3,1,3,7,7,0,3,2,2006,2,3,826,5,5,3,0,146,0,0,0,0,1,3,3,0,7,2007,9,5,12.4280154762679
190,5,33,4456,2,1,4,4,1,5,1,18,3,3,2,6,4,5,1920,2008,2,2,9,9,3,0,4,5,1,4,4,4,6,0,6,0,736,736,2,3,2,5,736,716,0,1452,0,0,2,0,2,3,4,8,7,0,3,2,1978.1134057971,3,0,0,5,5,1,0,0,102,0,0,0,1,3,3,0,6,2009,7,6,11.6351430976945
20,4,66,7742,2,1,4,4,1,5,1,19,3,3,1,3,5,7,1966,1966,2,2,7,7,3,0,4,5,2,4,4,4,2,763,6,0,192,955,2,1,2,5,955,0,0,955,1,0,1,0,3,1,4,6,7,0,3,2,1966,3,1,386,5,5,3,0,0,0,0,0,0,1,3,3,0,1,2007,9,5,11.7519423654407
60,4,69.3057953144266,13869,2,1,2,4,1,1,1,9,3,3,1,6,6,6,1997,1997,2,2,13,14,3,0,4,5,3,3,4,1,3,182,6,0,612,794,2,3,2,5,794,676,0,1470,0,1,2,0,3,1,4,6,7,0,3,2,1997,1,2,388,5,5,3,0,75,0,0,0,0,1,3,3,0,7,2007,9,5,12.083905011556
50,5,52,6240,2,1,4,4,1,5,1,4,3,3,1,1,6,6,1934,1950,2,2,14,15,3,0,4,5,3,4,4,4,6,0,6,0,816,816,2,5,2,5,816,0,360,1176,0,0,1,0,3,1,4,6,7,1,3,6,1985,3,2,528,5,5,3,112,0,0,0,0,0,1,3,3,400,9,2006,9,5,11.6483301019764
90,5,110,8472,1,1,2,1,1,1,2,10,9,3,3,3,5,5,1963,1963,2,2,14,15,3,0,2,5,2,3,4,2,4,104,3,712,0,816,2,5,1,5,816,0,0,816,1,0,1,0,2,1,4,5,7,0,3,5,1963,3,2,516,5,5,3,106,0,0,0,0,0,1,3,3,0,5,2010,9,5,11.6082356447746
